Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL
45530,Baby Care From Rs 49,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/baby-care/pr?count=40&p%5B%5D=facets.price_range.from%3D49&p%5B%5D=facets.price_range.to%3DMax&sid=kyh,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45531,Starting from 49,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/all/~toys-baby-care-/pr?sid=all,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45532,School Bags Up to 70% Off,Flipkart,Baby & Kids,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/kids-accessories/school-supplies/school-bags/pr?sid=d69,thr,wsp&p[]=facets.fulfilled_by%255B%255D%3DFlipkart%2BAssured",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45533,"Lunch Box, Bottles & More Under 499",Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/kids-accessories/school-supplies/pr?count=40&p%5B%5D=facets.fulfilled_by%255B%255D%3DFlipkart%2BAssured&p%5B%5D=facets.price_range.from%3DMin&p%5B%5D=facets.price_range.to%3D500&sid=d69%2Fthr,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45534,Toys Under 499,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/toys/pr?count=40&p%5B%5D=facets.price_range.from%3DMin&p%5B%5D=facets.price_range.to%3D500&sid=mgl,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45535,Diapers Up to 40% Off,Flipkart,Baby & Kids,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/baby-care/diapering-potty-training/diapers/pr?sid=kyh,fdp,yvf",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45536,School Supplies Up to 70% Off,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/kids-accessories/school-supplies/pr?sid=d69%2Fthr&p%5B%5D=facets.fulfilled_by%255B%255D%3DFlipkart%2BAssured,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45537,Remote Control Toys Min 40% Off,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/toys/remote-control-toys/pr?count=40&p%5B%5D=facets.discount_range_v1%255B%255D%3D40%2525%2Bor%2BMore&sid=mgl%2F56m,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45538,Baby Care Essentials Starting From 49,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/baby-care/~baby-care-essentials-stores/pr?sid=kyh,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45539,Learning Toys Min 40% Off,Flipkart,Baby & Kids,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/toys/learning-educational-toys/pr?sid=mgl,u35&p[]=facets.discount_range_v1%255B%255D%3D40%2525%2Bor%2BMore",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45540,Soft Toys 40-80% Off,Flipkart,Baby & Kids,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/toys/soft-toys/pr?sid=mgl,1zt&p[]=facets.discount_range_v1%255B%255D%3D40%2525%2Bor%2BMore",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45541,Board Games Min 30% Off,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/toys/board-games/pr?count=40&p%5B%5D=facets.discount_range_v1%255B%255D%3D30%2525%2Bor%2BMore&sid=mgl%2Fqet,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45542,Hot Wheels Min 25% Off,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/toys/~bbd-minimum-25-off/pr?count=40&p%5B%5D=facets.brand%255B%255D%3DHot%2BWheels&sid=mgl,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45543,Funskool Min 20,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/toys/pr?count=40&p%5B%5D=facets.brand%255B%255D%3DFunskool&p%5B%5D=facets.discount_range_v1%255B%255D%3D20%2525%2Bor%2BMore&sid=mgl,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45544,Barbie Min 25% Off,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/toys/~bbd-minimum-25-off/pr?count=40&p%5B%5D=facets.brand%255B%255D%3DBarbie&sid=mgl,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45545,Pampers Up to 35% Off,Flipkart,Baby & Kids,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/baby-care/diapering-potty-training/diapers/pr?count=40&p%5B%5D=facets.brand%255B%255D%3DPampers&sid=kyh%2Ffdp%2Fyvf,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
