Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL
45413,WOW Offers on Fashion,Flipkart,Fashion,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/no-kidding-days-fashion-store,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45414,Its For Real Deals starting at Rs 99/-,Flipkart,Fashion,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/offers-list/starting-at-99?screen=dynamic&pk=themeViews%3DLS-NKD-FromRs99%3Ada%2CLS-NKD-FromRs99%3Add~widgetType%3DdealCard~contentType%3Dneo&wid=2.dealCard.OMU,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45415,Flat 50% Off on Top Fashion Brands,Flipkart,Fashion,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/offers-list/flat-50-percent-off?screen=dynamic&pk=themeViews%3DLS-NKD-Flat-50%3Ada%2CLS-NKD-Flat-50%3Add~widgetType%3DdealCard~contentType%3Dneo&wid=2.dealCard.OMU,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45416,Crazy Clearance Offers|Upto 90% Off,Flipkart,Fashion,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/offers-list/clearance-sale?screen=dynamic&pk=themeViews%3DLS-NKD-Clearance%3Ada%2CLS-NKD-Clearance%3Add~widgetType%3DdealCard~contentType%3Dneo&wid=2.dealCard.OMU,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45417,30-80% Off on Fashion Products Shop Now!,Flipkart,Fashion,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/no-kidding-days-fashion-store,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45418,"Women's Shoes, Sandals & more,40-80% Off",Flipkart,Fashion,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/footwear/womens-footwear/~minimum-40-off/pr?sid=osp,iko",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45419,"Women's Shoes, Sandals & more,Under Rs.999",Flipkart,Fashion,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/womens-footwear/~below-rs-999/pr?sid=osp%2Ciko,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45420,"Women's Sports Shoes,Min. 30% Off",Flipkart,Fashion,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/womens-footwear/sports-shoes/pr?count=40&p%5B%5D=facets.discount_range_v1%255B%255D%3D30%2525%2Bor%2BMore&sid=osp%2Fiko%2Fd20,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45421,"Under Rs.499, Flats and bellies",Flipkart,Fashion,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/womens-footwear/~flats-bellies/pr?p%5B%5D=facets.price_range.from%3DMin&p%5B%5D=facets.price_range.to%3D499&sid=osp%2Fiko,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45422,"Women's Shoes, Sandals & more, Min. 60% Off",Flipkart,Fashion,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/footwear/womens-footwear/~minimum-60-percent-off/pr?sid=osp,iko",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
