Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL
45503,Extra 10% off on Nivia Footballs,Flipkart,Health & Beauty,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/sports-fitness/team-sports/football/pr?count=40&otracker=categorytree&p%5B%5D=facets.brand%255B%255D%3DNivia&sid=dep%2Fv5l,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45504,Min 30% + Extra 10% off on Yoga,Flipkart,Health & Beauty,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/sports-fitness/exercise-fitness/yoga/pr?count=40&p%5B%5D=facets.discount_range_v1%255B%255D%3D30%2525%2Bor%2BMore&sid=dep%2Fxnh%2Fly6,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45505,Min 20% off on Cricket Gear,Flipkart,Health & Beauty,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/sports-fitness/team-sports/cricket/pr?count=40&p%5B%5D=facets.discount_range_v1%255B%255D%3D20%2525%2Bor%2BMore&sid=dep%2Fv5l%2Fw5e,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45506,Under 799 Fitness Essentials,Flipkart,Health & Beauty,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/sports-fitness/exercise-fitness/accessories/pr?count=40&p%5B%5D=facets.price_range.from%3DMin&p%5B%5D=facets.price_range.to%3D799&sid=dep%2Fxnh%2Fcsz,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45507,Flipkart Exclusives in Nutrition,Flipkart,Health & Beauty,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/food-nutrition/~exclusives/pr?sid=7jv,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45508,Min 30% on Energy and Health Drinks,Flipkart,Health & Beauty,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/health-nutrition/health-and-energy-drinks/pr?sid=owt,a39",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45509,Upto 70% off off on Vitamin Supplements,Flipkart,Health & Beauty,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/health-nutrition/vitamin-supplements/pr?sid=owt,n2j",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45510,Min 20% off on Protein Supplements,Flipkart,Health & Beauty,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/health-nutrition/protein-supplements/pr?sid=owt,d9u",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45511,"Extra 20% off on Silvers, Li-ning",Flipkart,Health & Beauty,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/search?count=40&p%5B%5D=facets.brand%255B%255D%3DSilver%2527s&p%5B%5D=facets.brand%255B%255D%3DSilvers&p%5B%5D=facets.brand%255B%255D%3DLi-Ning&p%5B%5D=facets.discount_range_v1%255B%255D%3D20%2525%2Bor%2BMore&sid=dep,live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
45512,Extra 15% off on Home Gyms,Flipkart,Health & Beauty,,,,"https://linksredirect.com/?pub_id=29755CL26816&url=https://www.flipkart.com/sports-fitness/exercise-fitness/home-gym-equipment/pr?sid=dep,xnh,ikc",live,2018-04-03,2018-04-30,03/04/2018,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772
